machine_id,line_id,factory_id,machine_type,brand,model,installation_date,machine_age_years,criticality,rated_capacity_units_per_hour,normal_temperature_c,warning_temperature_c,normal_rpm_min,normal_rpm_max,baseline_vibration_mm_s,base_failure_probability,machine_status
MCH0001,LIN020,FAC007,Injection Molding,Husky,HUS-145,2015-07-24,10.9,Medium,464,55,75,1200,1900,3.0,0.045,Standby
MCH0002,LIN009,FAC003,Industrial Furnace,Thermax,THE-780,2013-06-21,13.0,Low,378,350,520,0,0,1.5,0.0508,Standby
MCH0003,LIN025,FAC009,Packaging Line,Krones,KRO-584,2013-01-09,13.5,High,381,40,65,700,1300,2.0,0.0771,Active
MCH0004,LIN020,FAC007,Assembly Robot,ABB,ABB-263,2011-11-23,14.6,Medium,149,45,70,1400,2100,2.2,0.0551,Standby
MCH0005,LIN010,FAC004,Grinding Machine,Bosch Rexroth,BOS-632,2018-10-04,7.7,High,493,65,82,1500,2300,3.4,0.0612,Active
MCH0006,LIN013,FAC005,CNC Milling,Makino,MAK-175,2012-05-19,14.1,Medium,106,72,85,1800,2400,2.8,0.0538,Active
MCH0007,LIN021,FAC007,Industrial Furnace,Thermax,THE-587,2010-07-31,15.9,Low,247,350,520,0,0,1.5,0.0587,Active
MCH0008,LIN015,FAC005,Industrial Furnace,Thermax,THE-577,2012-09-21,13.8,Medium,372,350,520,0,0,1.5,0.053,Standby
MCH0009,LIN026,FAC009,Hydraulic Press,Schuler,SCH-311,2013-06-14,13.0,High,302,60,78,800,1400,3.2,0.0758,Standby
MCH0010,LIN011,FAC004,Packaging Line,Krones,KRO-827,2023-06-02,3.1,Medium,115,40,65,700,1300,2.0,0.0235,Standby
MCH0011,LIN013,FAC005,CNC Milling,Makino,MAK-277,2014-05-21,12.1,High,103,72,85,1800,2400,2.8,0.0733,Standby
MCH0012,LIN030,FAC010,CNC Milling,Makino,MAK-756,2020-02-19,6.4,High,176,72,85,1800,2400,2.8,0.0576,Under Maintenance
MCH0013,LIN023,FAC008,CNC Milling,Makino,MAK-323,2012-11-23,13.6,High,482,72,85,1800,2400,2.8,0.0774,Standby
MCH0014,LIN029,FAC010,Hydraulic Press,Schuler,SCH-290,2013-08-06,12.9,High,279,60,78,800,1400,3.2,0.0755,Active
MCH0015,LIN014,FAC005,Grinding Machine,Bosch Rexroth,BOS-291,2011-10-07,14.7,Medium,256,65,82,1500,2300,3.4,0.0554,Active
